Accident/underwriting year,Development year,sum(Value)
2002,2012,90508145000
2003,2012,114412103000
2003,2013,92829396000
2004,2012,121413619000
2004,2013,121553964000
2004,2014,121882112000
2005,2012,129270693000
2005,2013,128861330000
2005,2014,129684366000
2005,2015,129238650000
2006,2012,131851105000
2006,2013,131152440000
2006,2014,131003262000
2006,2015,131194672000
2006,2016,131935754000
2007,2012,142011282000
2007,2013,141239536000
2007,2014,141268498000
2007,2015,141065595000
2007,2016,141558940000
2007,2017,141267240000
2008,2012,151957776000
2008,2013,151523840000
2008,2014,150229664000
2008,2015,152416575000
2008,2016,151359105000
2008,2017,151757928000
2008,2018,151777584000
2009,2012,157229220000
2009,2013,156544724000
2009,2014,155556952000
2009,2015,156359150000
2009,2016,156652980000
2009,2017,155341878000
2009,2018,155935857000
2009,2019,172794496000
2010,2012,178350087000
2010,2013,176401142000
2010,2014,174922912000
2010,2015,177026304000
2010,2016,175848640000
2010,2017,174107400000
2010,2018,176287926000
2010,2019,198382885000
2010,2020,198162342000
2011,2012,172468160000
2011,2013,173134698000
2011,2014,171643164000
2011,2015,173244397000
2011,2016,173392710000
2011,2017,173691276000
2011,2018,172977540000
2011,2019,193378095000
2011,2020,193469040000
2012,2012,167090266000
2012,2013,179896938000
2012,2014,177631096000
2012,2015,180306865000
2012,2016,177877392000
2012,2017,178075260000
2012,2018,177168075000
2012,2019,195162432000
2012,2020,195259982000
2013,2013,169812885000
2013,2014,175879214000
2013,2015,179231850000
2013,2016,176363468000
2013,2017,175701552000
2013,2018,174593961000
2013,2019,190529061000
2013,2020,192113025000
2014,2014,171200512000
2014,2015,179817715000
2014,2016,177110511000
2014,2017,177262932000
2014,2018,176322126000
2014,2019,190816011000
2014,2020,191396936000
2015,2015,190690162000
2015,2016,197335125000
2015,2017,196203600000
2015,2018,195047835000
2015,2019,213387660000
2015,2020,211764924000
2016,2016,185247972000
2016,2017,191002594000
2016,2018,190750287000
2016,2019,208901355000
2016,2020,208133958000
2017,2017,194617430000
2017,2018,200655884000
2017,2019,216320775000
2017,2020,215364784000
2018,2018,192647674000
2018,2019,215515916000
2018,2020,216615724000
2019,2019,208777032000
2019,2020,215712330000
2020,2020,181300260000
