Accident/underwriting year,Development year,sum(sum(Value))
2012,0,444503448000000
2007,6,339935830000000
2010,7,457583616000000
2015,2,558960754000000
2017,3,611667000000000
2008,8,375925062000000
2014,4,477581871000000
2005,10,305152040000000
2014,0,480821935000000
2004,8,279095908000000
2012,8,467262616000000
2013,2,458975868000000
2012,4,472970400000000
2007,10,341191920000000
2004,10,278386416000000
2006,7,310412237000000
2003,10,246570220000000
2018,1,637386036000000
2017,0,595147190000000
2009,3,378791600000000
2006,6,315597605000000
2014,5,478335504000000
2008,6,371949105000000
2003,9,250596862000000
2007,9,340727760000000
2018,0,620194690000000
2016,2,560992425000000
2013,0,455048349000000
2008,10,372950760000000
2014,1,476236170000000
2008,9,371610512000000
2011,3,436035657000000
2019,1,693982456000000
2013,3,458264201000000
2006,10,312368214000000
2007,8,341245520000000
2013,6,456161650000000
2010,6,460471363000000
2012,7,466274354000000
2015,4,557538664000000
2015,0,550137795000000
2010,5,460049372000000
2005,8,302932792000000
2010,9,462246240000000
2011,2,434257593000000
2011,4,434041983000000
2011,8,431410812000000
2009,10,378362957000000
2019,0,654499001000000
2009,9,380784522000000
2013,7,459729810000000
2016,0,550865742000000
2009,6,377640846000000
2013,4,456108890000000
2014,3,478832225000000
2009,5,376130088000000
2008,7,373458790000000
2005,7,309076895000000
2013,5,458927871000000
2011,5,437726236000000
2011,7,435023772000000
2010,8,461287710000000
2006,9,314333932000000
2014,2,479218336000000
2016,1,565963632000000
2016,4,567005154000000
2014,6,481024050000000
2004,9,279086633000000
2011,6,434860247000000
2010,10,459895282000000
2015,3,556745040000000
2020,0,629939808000000
2010,3,460728796000000
2010,2,463560255000000
2009,7,375473868000000
2012,1,470257968000000
2008,5,371951640000000
2008,4,374179836000000
2007,5,345644138000000
2012,2,472621530000000
2009,4,376404360000000
2010,4,460922514000000
null,11,1100737000000
2012,3,468810048000000
2012,5,469850560000000
2013,1,459336476000000
2002,10,249516891000000
2017,2,610827238000000
2015,1,554737215000000
2007,7,342389358000000
2006,8,311366223000000
2011,1,431701072000000
2015,5,556456768000000
2018,2,637285755000000
2012,6,470842625000000
2017,1,612858147000000
2011,9,434518216000000
2016,3,562313640000000
2005,9,305117152000000
2009,8,377010162000000
