origin,dev,value
2007,6,34060
2010,7,45920
2015,2,55730
2017,3,61250
2008,8,37420
2014,4,47710
2005,10,30430
2004,8,27860
2012,8,46730
2013,2,46020
2012,4,47000
2007,10,34080
2004,10,27720
2006,7,31190
2003,10,24700
2018,1,63560
2009,3,38000
2006,6,31450
2014,5,47760
2008,6,37290
2003,9,24980
2007,9,34200
2016,2,56350
2008,10,37310
2014,1,47900
2008,9,37240
2011,3,43530
2019,1,69340
2013,3,46010
2006,10,31420
2007,8,34100
2013,6,45850
2010,6,46090
2012,7,46690
2015,4,55760
2010,5,45970
2005,8,30440
2010,9,46160
2011,2,43330
2011,4,43530
2011,8,43330
2009,10,37870
2009,9,37860
2013,7,45900
2009,6,37620
2013,4,45950
2014,3,47750
2009,5,37610
2008,7,37300
2005,7,30850
2013,5,45830
2011,5,43580
2011,7,43320
2010,8,46150
2006,9,31340
2014,2,47830
2016,1,56160
2016,4,56580
2014,6,48100
2004,9,27790
2011,6,43430
2010,10,46060
2015,3,55630
2010,3,45980
2010,2,46350
2009,7,37730
2012,1,46880
2008,5,37200
2008,4,37770
2007,5,34460
2012,2,47020
2009,4,37680
2010,4,46020
2012,3,47040
2012,5,46910
2013,1,46040
2002,10,24930
2017,2,61180
2015,1,55410
2007,7,34110
2006,8,31230
2011,1,43340
2015,5,55840
2018,2,63550
2012,6,46750
2017,1,60910
2011,9,43280
2016,3,56400
2005,9,30560
2009,8,37610
