origin,dev,value
2020,0,178
2019,1,277
2018,2,265
2017,3,227
2016,4,211
2015,5,221
2014,6,183
2013,7,172
2012,8,176
2011,9,184
2010,10,166
2020,0,26
2019,1,38
2018,2,44
2017,3,44
2016,4,46
2015,5,40
2014,6,36
2013,7,40
2012,8,35
2011,9,36
2010,10,36
2019,0,247
2018,1,264
2017,2,227
2016,3,212
2015,4,220
2014,5,183
2013,6,172
2012,7,176
2011,8,184
2010,9,166
2009,10,114
2019,0,29
2018,1,40
2017,2,41
2016,3,42
2015,4,39
2014,5,34
2013,6,39
2012,7,34
2011,8,35
2010,9,35
2009,10,34
2018,0,227
2017,1,220
2016,2,211
2015,3,220
2014,4,183
2013,5,172
2012,6,176
2011,7,184
2010,8,166
2009,9,114
2008,10,110
2018,0,31
2017,1,38
2016,2,39
2015,3,38
2014,4,34
2013,5,39
2012,6,34
2011,7,35
2010,8,35
2009,9,34
2008,10,35
2017,0,197
2016,1,198
2015,2,215
2014,3,179
2013,4,176
2012,5,171
2011,6,184
2010,7,166
2009,8,114
2008,9,111
2007,10,93
2017,0,30
2016,1,36
2015,2,36
2014,3,33
2013,4,38
2012,5,33
2011,6,35
2010,7,35
2009,8,34
2008,9,34
2007,10,33
2016,0,171
2015,1,219
2014,2,181
2013,3,178
2012,4,174
2011,5,184
2010,6,166
2009,7,114
2008,8,111
2007,9,94
2006,10,86
2016,0,27
2015,1,33
2014,2,32
2013,3,37
2012,4,33
2011,5,35
2010,6,35
2009,7,34
2008,8,35
2007,9,34
2006,10,34
2015,0,174
2014,1,184
2013,2,178
2012,3,184
2011,4,191
2010,5,172
2009,6,120
2008,7,119
2007,8,100
2006,9,92
2005,10,87
2015,0,26
2014,1,31
2013,2,37
2012,3,34
2011,4,36
2010,5,36
2009,6,35
2008,7,35
2007,8,34
2006,9,34
2005,10,31
2014,0,150
2013,1,178
2012,2,181
2011,3,192
2010,4,172
2009,5,121
2008,6,120
2007,7,100
2006,8,92
2005,9,88
2004,10,77
2014,0,24
2013,1,35
2012,2,33
2011,3,35
2010,4,35
2009,5,34
2008,6,35
2007,7,33
2006,8,31
2005,9,33
2004,10,30
2013,0,70
2012,1,81
2011,2,85
2005,8,63
2004,9,58
2003,10,56
2013,0,28
2012,1,31
2011,2,34
2010,3,35
2009,4,34
2008,5,35
2007,6,33
2006,7,31
2005,8,31
2004,9,31
2003,10,30
2012,0,77
2011,1,85
2010,2,67
2009,3,65
2008,4,79
2007,5,61
2006,6,50
2005,7,43
2004,8,40
2003,9,42
2002,10,49
2012,0,24
2011,1,31
2010,2,33
2009,3,32
2008,4,33
2007,5,32
2006,6,30
2005,7,30
2004,8,29
2003,9,31
2002,10,33
